Ano Mes,Local de instalação,Quantidade de Acidentes,Quantidade de Acidentes de Alto Potencial,Binario Acidentes de Alto Potencial
2020-02,S-S-CHA,1,0,0
2020-02,S-S-CMO,1,0,0
2020-03,S-S-CAN,1,0,0
2020-06,S-S-CMO,1,0,0
2020-09,S-S-FAR,1,0,0
2021-01,S-S-DRO,1,0,0
2021-01,S-S-PME,1,0,0
2021-01,S-S-TPR2,1,0,0
2021-02,S-S-ARE,1,0,0
2021-02,S-S-GRA,1,0,0
2021-03,S-S-JLA,1,0,0
2021-03,S-S-RCO,1,0,0
2021-06,S-S-GRA,1,0,0
2021-07,S-E-BRU,1,1,1
2021-08,S-E-SEDE,2,0,0
2021-09,S-S-PME,3,0,0
2021-10,S-S-PME,8,0,0
2022-01,S-S-JLA,1,0,0
2022-01,S-S-PME,1,1,1
2022-02,S-S-CGR,1,0,0
2022-02,S-S-JLB,1,0,0
2022-02,S-S-PME,3,0,0
2022-03,S-S-JNO,2,2,1
2022-03,S-S-PME,1,0,0
2022-03,S-S-SID,1,0,0
2022-04,S-E-ANG,2,1,1
2022-04,S-S-CMO,1,0,0
2022-04,S-S-GRA,1,0,0
2022-04,S-S-NPE2,1,1,1
2022-04,S-S-ROQ,1,1,1
2022-04,S-S-SID,1,0,0
2022-04,S-S-VIN,1,1,1
2022-05,S-S-BLU,1,1,1
2022-05,S-S-CMO,1,1,1
2022-05,S-S-GRA,1,1,1
2022-06,S-S-CBA,1,0,0
2022-06,S-S-DRO,1,0,0
2022-06,S-S-GRA,1,1,1
2022-06,S-S-LIV3,1,1,1
2022-06,S-S-PME,3,0,0
2022-07,S-S-JLB,1,1,1
2022-07,S-S-PME,3,0,0
2022-07,S-S-YTA,1,0,0
2022-07,S-U-UHSD,1,1,1
2022-08,S-S-GAR1,1,1,1
2022-08,S-S-NSR,1,0,0
2022-08,S-S-RCO,1,1,1
2022-08,S-U-UHSD,1,1,1
2022-09,S-S-PME,1,1,1
2022-09,S-S-VMT,1,1,1
2022-10,S-S-LIV3,1,0,0
2022-10,S-S-PME,1,0,0
2022-11,S-E-MAR,1,1,1
2022-11,S-S-CGR,2,1,1
2022-11,S-S-JNO,1,0,0
2022-11,S-S-ROQ,1,1,1
2022-12,S-E-CMCAP,1,0,0
2022-12,S-S-CHA,1,1,1
2022-12,S-S-LIV3,1,0,0
2022-12,S-S-RCO,1,0,0
2022-12,S-S-ROQ,2,0,0
2023-02,S-S-BLU,1,0,0
2023-02,S-S-GAR1,1,0,0
2023-02,S-S-LIV3,2,1,1
2023-02,S-S-PME,1,0,0
2023-02,S-S-RCO,1,1,1
2023-03,S-S-JLA,1,0,0
2023-03,S-S-PME,1,0,0
2023-03,S-U-UHBC,1,0,0
2023-04,S-S-LIV2,2,0,0
2023-04,S-S-PME,2,0,0
2023-04,S-S-RCO,1,0,0
2023-04,S-S-ROQ,1,1,1
2023-05,S-E-SEDE,2,0,0
2023-05,S-S-LIV2,1,0,0
2023-05,S-S-LIV3,1,0,0
2023-05,S-S-PME,1,1,1
2023-06,S-S-GRA,1,1,1
2023-06,S-S-LIV3,1,0,0
2023-06,S-S-NSR,1,1,1
2023-06,S-S-PME,2,0,0
2023-07,S-E-SEDE,1,0,0
2023-07,S-S-GAR1,1,1,1
2023-07,S-S-LGR,1,0,0
2023-07,S-S-LIV2,1,1,1
2023-07,S-S-LIV3,1,0,0
2023-07,S-S-PME,3,2,1
2023-08,S-E-AGL,1,1,1
2023-08,S-S-CBA,1,0,0
2023-08,S-S-CMO,2,0,0
2023-08,S-S-JNO,2,2,1
2023-08,S-S-LIV2,6,2,1
2023-08,S-S-NPE2,1,1,1
2023-09,S-E-FXL,2,2,1
2023-09,S-E-SEDE,1,0,0
2023-09,S-S-CBA,2,0,0
2023-09,S-S-CHA,1,0,0
2023-09,S-S-IVP,1,0,0
2023-09,S-S-LIV2,10,2,1
2023-09,S-S-NPE2,5,0,0
2023-09,S-S-NSR,1,1,1
2023-10,S-E-AGL,1,1,1
2023-10,S-E-SEDE,3,0,0
2023-10,S-S-CAN,1,0,0
2023-10,S-S-FCO,1,0,0
2023-10,S-S-GRA,1,0,0
2023-10,S-S-LIV2,12,0,0
2023-10,S-S-ROQ,1,0,0
2023-11,S-E-MCR,1,0,0
2023-11,S-E-RXA,1,1,1
2023-11,S-S-BLU,1,0,0
2023-11,S-S-CBA,2,0,0
2023-11,S-S-FAR,1,0,0
2023-11,S-S-LIV2,1,0,0
2023-11,S-S-SOS,1,1,1
2023-11,S-S-XAN,1,0,0
2023-11,S-S-YTA,1,0,0
2023-11,S-U-UHPJ,1,0,0
2023-12,S-E-AGL,2,1,1
2023-12,S-E-RUM,2,1,1
2023-12,S-S-ANA,1,0,0
2023-12,S-S-GRA,1,0,0
2023-12,S-S-LIV3,2,0,0
2023-12,S-S-OSO2,1,0,0
2023-12,S-S-RCO,1,0,0
2024-01,S-E-NES,1,0,0
2024-01,S-E-SEDE,2,0,0
2024-01,S-S-CBA,1,0,0
2024-01,S-S-CGR,2,0,0
2024-01,S-S-CTA,1,0,0
2024-01,S-S-LIV3,8,0,0
2024-01,S-S-PME,1,1,1
2024-01,S-S-SSA,1,1,1
2024-02,S-E-SEDE,1,0,0
2024-02,S-S-CBA,1,0,0
2024-02,S-S-FAR,1,0,0
2024-02,S-S-LIV3,6,0,0
2024-03,S-E-CMLAR,1,0,0
2024-03,S-E-SEDE,2,0,0
2024-03,S-S-ARE,1,0,0
2024-03,S-S-CHA,1,1,1
2024-03,S-S-FAR,1,0,0
2024-03,S-S-GAS2,1,0,0
2024-03,S-S-GRA,2,0,0
2024-03,S-S-LIV3,5,0,0
2024-04,S-S-ARE,1,1,1
2024-04,S-S-DOS,1,0,0
2024-04,S-S-FAR,1,0,0
2024-04,S-S-GAS2,1,1,1
2024-04,S-S-JOI,1,0,0
2024-04,S-S-LIV3,7,0,0
2024-04,S-S-XAN,2,0,0
2024-05,S-S-CGR,1,1,1
2024-05,S-S-FAR,1,1,1
2024-05,S-S-LIV2,4,0,0
2024-05,S-S-SERT,1,1,1
2024-05,S-S-YTA,1,0,0
2024-05,S-U-UHJB,1,0,0
2024-06,S-E-BRU,1,1,1
2024-06,S-E-MCR,1,0,0
2024-06,S-E-SEDE,1,0,0
2024-06,S-S-BIG,1,0,0
2024-06,S-S-LIV2,2,0,0
2024-06,S-S-MRO2,1,1,1
2024-06,S-S-NSR,1,0,0
2024-06,S-S-ROQ,1,0,0
