Ano Mes,HH,Local de instalação,PK
2000-02,4.300000000000001,S-S-CNO,2000-02S-S-CNO
2008-04,0.2745098039215686,S-S-PME,2008-04S-S-PME
2008-04,0.5424836601307189,S-S-XAN,2008-04S-S-XAN
2008-04,1.0718954248366013,S-S-OSO2,2008-04S-S-OSO2
2008-04,1.1241830065359475,S-S-ARE,2008-04S-S-ARE
2008-04,0.5490196078431372,S-S-ABT,2008-04S-S-ABT
2008-04,0.4705882352941177,S-S-FAR,2008-04S-S-FAR
2008-05,0.7074303405572756,S-S-FAR,2008-05S-S-FAR
2008-05,0.2745098039215686,S-S-PME,2008-05S-S-PME
2008-05,0.5490196078431372,S-S-ABT,2008-05S-S-ABT
2008-05,0.5424836601307189,S-S-XAN,2008-05S-S-XAN
2008-05,1.0718954248366013,S-S-OSO2,2008-05S-S-OSO2
2008-05,1.1241830065359475,S-S-ARE,2008-05S-S-ARE
2008-06,0.5490196078431372,S-S-ABT,2008-06S-S-ABT
2008-06,1.0718954248366013,S-S-OSO2,2008-06S-S-OSO2
2008-06,0.5424836601307189,S-S-XAN,2008-06S-S-XAN
2008-06,1.1241830065359475,S-S-ARE,2008-06S-S-ARE
2008-06,0.7074303405572756,S-S-FAR,2008-06S-S-FAR
2008-06,0.2745098039215686,S-S-PME,2008-06S-S-PME
2008-07,0.5424836601307189,S-S-XAN,2008-07S-S-XAN
2008-07,1.1241830065359475,S-S-ARE,2008-07S-S-ARE
2008-07,0.7074303405572756,S-S-FAR,2008-07S-S-FAR
2008-07,0.2745098039215686,S-S-PME,2008-07S-S-PME
2008-07,1.0718954248366013,S-S-OSO2,2008-07S-S-OSO2
2008-07,0.5490196078431372,S-S-ABT,2008-07S-S-ABT
2008-08,0.5424836601307189,S-S-XAN,2008-08S-S-XAN
2008-08,0.2745098039215686,S-S-PME,2008-08S-S-PME
2008-08,1.0718954248366013,S-S-OSO2,2008-08S-S-OSO2
2008-08,0.7074303405572756,S-S-FAR,2008-08S-S-FAR
2008-08,0.5490196078431372,S-S-ABT,2008-08S-S-ABT
2008-08,1.1241830065359475,S-S-ARE,2008-08S-S-ARE
2008-09,0.5490196078431372,S-S-ABT,2008-09S-S-ABT
2008-09,1.1241830065359475,S-S-ARE,2008-09S-S-ARE
2008-09,0.7074303405572756,S-S-FAR,2008-09S-S-FAR
2008-09,0.5424836601307189,S-S-XAN,2008-09S-S-XAN
2008-09,1.0718954248366013,S-S-OSO2,2008-09S-S-OSO2
2008-09,0.2745098039215686,S-S-PME,2008-09S-S-PME
2008-10,0.5490196078431372,S-S-ABT,2008-10S-S-ABT
2008-10,0.7074303405572756,S-S-FAR,2008-10S-S-FAR
2008-10,1.0718954248366013,S-S-OSO2,2008-10S-S-OSO2
2008-10,0.2745098039215686,S-S-PME,2008-10S-S-PME
2008-10,0.5424836601307189,S-S-XAN,2008-10S-S-XAN
2008-10,1.1241830065359475,S-S-ARE,2008-10S-S-ARE
2008-11,0.2745098039215686,S-S-PME,2008-11S-S-PME
